hs_science_trivia
question,option_a,option_b,option_c,option_d,correct,category,time_limit
What is the pH of a neutral solution at 25 degrees Celsius?,0,7,10,14,B,CHEMISTRY,
How many protons does a carbon atom have?,4,6,8,12,B,CHEMISTRY,
What type of bond forms when electrons are shared between two atoms?,Ionic,Metallic,Covalent,Hydrogen,C,CHEMISTRY,
Which subatomic particle carries a negative charge?,Electron,Proton,Neutron,Nucleus,A,CHEMISTRY,
What is Avogadro's number approximately equal to?,3.14 x 10^10,1.60 x 10^-19,9.81 x 10^8,6.02 x 10^23,D,CHEMISTRY,
"On the periodic table, elements in the same vertical column are called a what?",Period,Series,Group,Block,C,CHEMISTRY,
What is the chemical formula for table salt?,KCl,CaCO3,NaCl,NaOH,C,CHEMISTRY,
A substance that speeds up a reaction without being consumed is called a what?,Reactant,Solvent,Product,Catalyst,D,CHEMISTRY,
Which gas is produced when an acid reacts with a metal?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,D,CHEMISTRY,
What is the powerhouse of the cell?,Mitochondrion,Nucleus,Ribosome,Golgi body,A,BIOLOGY,
What molecule carries genetic information in most living organisms?,RNA,DNA,ATP,Protein,B,BIOLOGY,
"During photosynthesis, plants take in carbon dioxide and release what gas?",Nitrogen,Oxygen,Hydrogen,Methane,B,BIOLOGY,
How many chromosomes are in a typical human body cell?,23,48,92,46,D,BIOLOGY,
Which part of the cell controls what enters and leaves it?,Cell wall,Cell membrane,Cytoplasm,Vacuole,B,BIOLOGY,
What is the process by which cells divide to make two identical cells?,Mitosis,Meiosis,Fertilization,Osmosis,A,BIOLOGY,
Organisms that make their own food are called what?,Consumers,Decomposers,Producers,Predators,C,BIOLOGY,
Which blood cells help fight infection?,White blood cells,Red blood cells,Platelets,Plasma,A,BIOLOGY,
Which gas is most responsible for the greenhouse effect from human activity?,Oxygen,Argon,Helium,Carbon dioxide,D,ENVIRONMENTAL SCIENCE,
What layer of the atmosphere protects Earth by absorbing UV radiation?,Water table,Ionosphere,Ozone layer,Biosphere,C,ENVIRONMENTAL SCIENCE,
Which of these is a renewable energy source?,Coal,Natural gas,Petroleum,Solar,D,ENVIRONMENTAL SCIENCE,
The variety of living things in an ecosystem is called what?,Biomass,Ecology,Habitat,Biodiversity,D,ENVIRONMENTAL SCIENCE,
What term describes rain made acidic by pollution?,Smog,Acid rain,Runoff,Fog,B,ENVIRONMENTAL SCIENCE,
Which practice helps reduce waste by reusing materials?,Incineration,Landfilling,Recycling,Mining,C,ENVIRONMENTAL SCIENCE,
A species at risk of disappearing forever is described as what?,Invasive,Endangered,Native,Nocturnal,B,ENVIRONMENTAL SCIENCE,
Which cycle describes how water moves through the environment?,Water cycle,Carbon cycle,Nitrogen cycle,Rock cycle,A,ENVIRONMENTAL SCIENCE,
