popculture_98_00_trivia
question,option_a,option_b,option_c,option_d,correct,category,time_limit
What is the name of SpongeBob's pet snail?,Larry,Jerry,Barry,Gary,D,NICKELODEON,
What is the Krusty Krab's rival restaurant?,The Salty Spitoon,The Chum Bucket,The Krusty Towers,Weenie Hut Jr's,B,NICKELODEON,
Who is SpongeBob's boating school teacher?,Mrs. Krabs,Mrs. Puff,Ms. Sandy,Mrs. Star,B,NICKELODEON,
What instrument does Squidward play (badly)?,Trumpet,Clarinet,Violin,Saxophone,B,NICKELODEON,
"On iCarly, who is the web show's tech producer?",Gibby,Freddie,Spencer,Nevel,B,NICKELODEON,
What is the name of Carly's older brother on iCarly?,Freddie,Chuck,Lewbert,Spencer,D,NICKELODEON,
"On Drake & Josh, what is their scheming little sister's name?",Mindy,Megan,Wendy,Tori,B,NICKELODEON,
Zoey 101 takes place at which boarding school?,Hollywood Arts,Ridgeway,Pacific Coast Academy,Palm Woods Academy,C,NICKELODEON,
Who are Timmy Turner's fairy godparents?,Jorgen and Tootie,Binky and Blonda,Juandissimo and Trixie,Cosmo and Wanda,D,NICKELODEON,
Which pop star played Cat Valentine on Victorious?,Victoria Justice,Miranda Cosgrove,Jennette McCurdy,Ariana Grande,D,NICKELODEON,
Aang from Avatar: The Last Airbender is the last survivor of which nation?,The Air Nomads,The Water Tribe,The Fire Nation,The Earth Kingdom,A,NICKELODEON,
What is Hannah Montana's real identity?,Lilly Truscott,Maddie Fitzpatrick,Miley Stewart,Raven Baxter,C,DISNEY CHANNEL,
"Who played Hannah Montana's dad, Robby Ray?",Kurt Russell,Billy Ray Cyrus,Tim McGraw,John Schneider,B,DISNEY CHANNEL,
"In The Suite Life, Zack and Cody live in which Boston hotel?",The Tipton,The Plaza,The Ritz,The Fairmont,A,DISNEY CHANNEL,
"In The Suite Life on Deck, what is the name of the cruise ship?",The SS London,The SS Boston,The SS Tipton,The SS Sprouse,C,DISNEY CHANNEL,
"On Wizards of Waverly Place, what business does the Russo family run?",A sandwich shop,A pizzeria,A magic shop,A bakery,A,DISNEY CHANNEL,
Which character did Selena Gomez play on Wizards of Waverly Place?,Harper Finkle,Juliet van Heusen,Gigi Hollingsworth,Alex Russo,D,DISNEY CHANNEL,
High School Musical takes place at which school?,West High,North High,Bayside High,East High,D,DISNEY CHANNEL,
Who played Troy Bolton in High School Musical?,Zac Efron,Corbin Bleu,Lucas Grabeel,Joe Jonas,A,DISNEY CHANNEL,
Which real-life band starred in Disney's Camp Rock?,Big Time Rush,One Direction,The Jonas Brothers,The Naked Brothers Band,C,DISNEY CHANNEL,
What special ability does Raven have on That's So Raven?,She reads minds,She can teleport,She sees visions of the future,She talks to animals,C,DISNEY CHANNEL,
"What kind of animal is Perry, Phineas and Ferb's secret-agent pet?",An otter,A beaver,A platypus,An echidna,C,DISNEY CHANNEL,
What is Ron Stoppable's naked mole rat named on Kim Possible?,Rufus,Rocco,Ralph,Remy,A,DISNEY CHANNEL,
One Direction was formed on which TV show in 2010?,The X Factor,American Idol,The Voice,Britain's Got Talent,A,MUSIC,
Which rapper is featured on Justin Bieber's 'Baby'?,Ludacris,Usher,Drake,Chris Brown,A,MUSIC,
What viral 2011 song did Rebecca Black release about a day of the week?,Friday,Saturday,Sunday,Monday,A,MUSIC,
What was the first YouTube video to hit 1 billion views?,Baby,Despacito,Gangnam Style,Charlie Bit My Finger,C,MUSIC,
Which Soulja Boy song came with its own viral dance in 2007?,Kiss Me Thru the Phone,Crank That,Turn My Swag On,Pretty Boy Swag,B,MUSIC,
"Who recorded 'Old Town Road', the longest-running #1 hit ever?",Post Malone,Travis Scott,DaBaby,Lil Nas X,D,MUSIC,
Who sang 'Party in the U.S.A.'?,Demi Lovato,Miley Cyrus,Selena Gomez,Katy Perry,B,MUSIC,
What was the maximum length of a Vine video?,10 seconds,15 seconds,6 seconds,30 seconds,C,INTERNET,
"In the 'Damn Daniel' meme, what shoes was Daniel wearing?",Red Converse,Yeezys,Air Force 1s,White Vans,D,INTERNET,
The Dress that broke the internet in 2015 was debated as white & gold or what?,Silver & green,Black & blue,Pink & grey,Purple & brown,B,INTERNET,
The 2014 Ice Bucket Challenge raised money to fight which disease?,Breast cancer,Diabetes,ALS,Alzheimer's,C,INTERNET,
The Doge meme features what breed of dog?,Corgi,Pomeranian,Akita,Shiba Inu,D,INTERNET,
Which app merged into TikTok in 2018?,Vine,Dubsmash,Triller,Musical.ly,D,INTERNET,
Which emoji appears next to a Snapchat streak?,100,Fire,Lightning bolt,Heart,B,INTERNET,
"In 2019, over a million people joked online about storming what?",The Pentagon,Fort Knox,Area 51,The Bermuda Triangle,C,INTERNET,
"Silly Bandz, the 2010 school craze, were what?",Sticky wall crawlers,Animal-shaped rubber band bracelets,Scented erasers,Clip-on charms,B,TRENDS,
In what year did fidget spinners take over every classroom?,2017,2013,2015,2019,A,TRENDS,
What are the pets in Club Penguin called?,Puffles,Furbies,Pufflings,Waddles,A,GAMES,
In what year did Pokemon GO send everyone wandering outside?,2014,2016,2017,2018,B,GAMES,
"In Fortnite, how do players arrive on the island?",The Battle Bus,A cargo plane,A submarine,A zipline,A,GAMES,
What happened to Flappy Bird in February 2014?,It was banned by Apple,It was sold to Nintendo,It got a sequel,Its creator removed it from app stores,D,GAMES,
Which Minecraft mob silently sneaks up and explodes?,The Enderman,The Zombie,The Creeper,The Skeleton,C,GAMES,
"In Among Us, what is the secret killer role called?",The Traitor,The Saboteur,The Spy,The Impostor,D,GAMES,
Which game came bundled with the Nintendo Wii?,Wii Play,Mario Kart Wii,Wii Sports,Wii Fit,C,GAMES,
Stranger Things is set in which fictional Indiana town?,Hawkins,Hawthorne,Harmon,Haddonfield,A,TV,
What is Eleven's favorite food in Stranger Things?,Eggo waffles,Pop-Tarts,Pizza,Mac and cheese,A,TV,
Tiger King made which big cat owner a 2020 household name?,Doc Antle,Joe Exotic,Jeff Lowe,Carole Baskin,B,TV,
