kids_questions
text,option_1,option_2,option_3,option_4,correct,category,time_limit
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Mercury,1,SCIENCE,
What do plants need to make their own food?,Sunlight,Moonlight,Wind,Soil only,0,SCIENCE,
What gas do humans breathe in to survive?,Carbon dioxide,Helium,Oxygen,Hydrogen,2,SCIENCE,
What is frozen water called?,Steam,Fog,Dew,Ice,3,SCIENCE,
How many legs does a spider have?,Six,Eight,Ten,Twelve,1,NATURE,
Which animal is the tallest in the world?,Elephant,Ostrich,Giraffe,Polar bear,2,NATURE,
What does a caterpillar turn into?,A butterfly,A bee,A dragonfly,A beetle,0,NATURE,
Which of these animals is a mammal?,Shark,Snake,Frog,Dolphin,3,NATURE,
What is the largest ocean on Earth?,Atlantic,Pacific,Indian,Arctic,1,GEOGRAPHY,
What is the capital of the United States?,New York City,Los Angeles,"Washington, D.C.",Chicago,2,GEOGRAPHY,
Which continent has penguins living in the wild?,Antarctica,Europe,Asia,North America,0,GEOGRAPHY,
How many continents are there on Earth?,Five,Six,Seven,Eight,2,GEOGRAPHY,
Which country is shaped like a boot?,Spain,France,Greece,Italy,3,GEOGRAPHY,
Who was the first president of the United States?,Abraham Lincoln,George Washington,Thomas Jefferson,John Adams,1,HISTORY,
The pyramids were built in which ancient country?,Egypt,Greece,China,Mexico,0,HISTORY,
Who sailed across the Atlantic Ocean in 1492?,Ferdinand Magellan,Marco Polo,Christopher Columbus,Leif Erikson,2,HISTORY,
What was the name of the first person to walk on the Moon?,Buzz Aldrin,Neil Armstrong,John Glenn,Sally Ride,1,HISTORY,
What is 7 x 8?,54,58,56,64,2,MATH,
How many sides does a hexagon have?,Five,Six,Seven,Eight,1,MATH,
What is half of 100?,25,40,60,50,3,MATH,
How many minutes are in one hour?,60,100,30,90,0,MATH,
How many players from one team are on a basketball court at a time?,Four,Five,Six,Seven,1,SPORTS,
In which sport do you score a touchdown?,Baseball,Soccer,Football,Hockey,2,SPORTS,
What instrument has 88 keys?,Piano,Guitar,Violin,Trumpet,0,MUSIC,
"In chess, which piece can move in an L-shape?",Bishop,Rook,Pawn,Knight,3,GAMES,
