general_knowledge_50
question,option_a,option_b,option_c,option_d,correct,category,time_limit
"Which particle, nicknamed the 'God particle', was confirmed at CERN in 2012?",Neutrino,Higgs boson,Quark,Graviton,B,SCIENCE,
What is the most abundant element in the universe?,Helium,Oxygen,Carbon,Hydrogen,D,SCIENCE,
What does DNA stand for?,Dinucleic acid,Deoxyribose nutrient acid,Dual-helix nucleic acid,Deoxyribonucleic acid,D,SCIENCE,
What is the SI unit of electrical resistance?,Volt,Watt,Ampere,Ohm,D,SCIENCE,
"Which planet has the shortest day, at about 10 hours?",Jupiter,Mercury,Mars,Venus,A,SCIENCE,
Which protein in red blood cells carries oxygen?,Insulin,Hemoglobin,Keratin,Collagen,B,SCIENCE,
Absolute zero is approximately what temperature in Celsius?,-100 degrees,-180 degrees,-273 degrees,-460 degrees,C,SCIENCE,
Which metal has the highest melting point?,Titanium,Tungsten,Iron,Platinum,B,SCIENCE,
In what year was the Magna Carta sealed?,1066,1215,1315,1415,B,HISTORY,
The Rosetta Stone was the key to deciphering which writing system?,Egyptian hieroglyphs,Cuneiform,Linear B,Sanskrit,A,HISTORY,
Who was the first emperor of Rome?,Julius Caesar,Nero,Constantine,Augustus,D,HISTORY,
Which country gifted the Statue of Liberty to the United States?,England,France,Spain,Italy,B,HISTORY,
In what year did the Cuban Missile Crisis occur?,1962,1955,1968,1959,A,HISTORY,
Which civilization built Machu Picchu?,The Maya,The Aztec,The Olmec,The Inca,D,HISTORY,
Who assassinated Archduke Franz Ferdinand in 1914?,Leon Czolgosz,Charlotte Corday,John Wilkes Booth,Gavrilo Princip,D,HISTORY,
Which river is traditionally considered the longest in the world?,The Amazon,The Yangtze,The Nile,The Mississippi,C,GEOGRAPHY,
"Counting its overseas territories, which country spans the most time zones?",Russia,The United States,France,China,C,GEOGRAPHY,
What is the capital of Australia?,Canberra,Sydney,Melbourne,Perth,A,GEOGRAPHY,
The Strait of Gibraltar separates Spain from which country?,Algeria,Tunisia,Portugal,Morocco,D,GEOGRAPHY,
What is the largest hot desert in the world?,The Sahara,The Gobi,The Kalahari,The Mojave,A,GEOGRAPHY,
Istanbul is famously located on which two continents?,Asia and Africa,Europe and Africa,Only Europe,Europe and Asia,D,GEOGRAPHY,
Who wrote 'One Hundred Years of Solitude'?,Jorge Luis Borges,Pablo Neruda,Gabriel Garcia Marquez,Mario Vargas Llosa,C,LITERATURE,
'Call me ___' is the famous opening line of Moby-Dick. Who?,Ahab,Ishmael,Queequeg,Starbuck,B,LITERATURE,
Who wrote the dystopian novel 'Brave New World'?,Aldous Huxley,George Orwell,Ray Bradbury,H.G. Wells,A,LITERATURE,
Who wrote 'Pride and Prejudice'?,Charlotte Bronte,Jane Austen,Mary Shelley,Virginia Woolf,B,LITERATURE,
Who painted 'The Starry Night'?,Claude Monet,Paul Cezanne,Vincent van Gogh,Edvard Munch,C,ART,
Which surrealist painted the melting clocks of 'The Persistence of Memory'?,Salvador Dali,Rene Magritte,Pablo Picasso,Joan Miro,A,ART,
The Mona Lisa is displayed in which museum?,The Louvre,The Uffizi,The Prado,The Met,A,ART,
How many symphonies did Beethoven complete?,Five,Seven,Nine,Twelve,C,MUSIC,
A luthier is a craftsman who builds what?,Pipe organs,Drums,Stringed instruments,Grandfather clocks,C,MUSIC,
Which composer wrote 'The Four Seasons'?,Bach,Mozart,Vivaldi,Handel,C,MUSIC,
In what year did the Woodstock music festival take place?,1969,1965,1972,1975,A,MUSIC,
Which film won the very first Academy Award for Best Picture?,Wings,Gone with the Wind,Casablanca,The Jazz Singer,A,MOVIES,
Who directed 'Pulp Fiction'?,Quentin Tarantino,Martin Scorsese,The Coen Brothers,David Fincher,A,MOVIES,
The AI computer HAL 9000 appears in which film?,Blade Runner,2001: A Space Odyssey,WarGames,The Terminator,B,MOVIES,
What is the highest-grossing film of all time (not adjusted for inflation)?,Titanic,Avatar,Avengers: Endgame,Star Wars: The Force Awakens,B,MOVIES,
How many players are on a cricket team?,9,10,12,11,D,SPORTS,
The Masters golf tournament is played every year at which course?,Pebble Beach,St Andrews,Augusta National,Pinehurst,C,SPORTS,
What is the official distance of a marathon in miles?,24.2,25.0,27.5,26.2,D,SPORTS,
What is the most expensive spice in the world by weight?,Vanilla,Saffron,Cardamom,Truffle salt,B,FOOD & DRINK,
Sushi rice is traditionally seasoned with what?,Soy sauce,Rice vinegar,Sake,Sesame oil,B,FOOD & DRINK,
Which country drinks the most coffee per capita?,Italy,The United States,Finland,Brazil,C,FOOD & DRINK,
What does HTTP stand for?,High-Tech Transfer Process,Hyperlink Text Transport Program,HyperText Transfer Protocol,Host Terminal Transfer Protocol,C,TECH,
Who invented the World Wide Web?,Tim Berners-Lee,Bill Gates,Vint Cerf,Steve Wozniak,A,TECH,
What is widely considered the first commercially successful video game?,Space Invaders,Pac-Man,Pong,Tetris,C,TECH,
What does GDP stand for?,General Domestic Profit,Gross Distributed Payment,Global Development Price,Gross Domestic Product,D,BUSINESS,
Which tech giant was originally called 'BackRub'?,Amazon,Google,Yahoo,Facebook,B,BUSINESS,
"In Greek myth, who fell into the sea after flying too close to the sun?",Daedalus,Icarus,Perseus,Orpheus,B,MYTHOLOGY,
What is the most spoken native language in the world?,English,Spanish,Hindi,Mandarin Chinese,D,LANGUAGE,
A polyglot is a person who can do what?,Speak several languages,Play several instruments,Write with both hands,Memorize long numbers,A,LANGUAGE,
