adult_trivia_questions
question,option_a,option_b,option_c,option_d,correct,category,time_limit
Which spirit is the main ingredient in a margarita?,Vodka,Rum,Gin,Tequila,D,FOOD & DRINK,
True Champagne can only come from which country?,France,Italy,Spain,Portugal,A,FOOD & DRINK,
Bourbon whiskey must be made primarily from which grain?,Rye,Corn,Wheat,Barley,B,FOOD & DRINK,
Guinness stout was first brewed in which city?,London,Glasgow,Dublin,Belfast,C,FOOD & DRINK,
What is the smallest country in the world by area?,Monaco,Vatican City,San Marino,Liechtenstein,B,GEOGRAPHY,
Which river runs through Paris?,Rhine,Loire,Danube,Seine,D,GEOGRAPHY,
Mount Kilimanjaro is located in which country?,Kenya,Ethiopia,Tanzania,Uganda,C,GEOGRAPHY,
What is the capital city of Canada?,Toronto,Vancouver,Montreal,Ottawa,D,GEOGRAPHY,
Who was the British Prime Minister for most of World War II?,Neville Chamberlain,Winston Churchill,Clement Attlee,Anthony Eden,B,HISTORY,
In what year did the Titanic sink?,1905,1912,1918,1923,B,HISTORY,
Who was the first U.S. president to resign from office?,Andrew Johnson,Herbert Hoover,Richard Nixon,Gerald Ford,C,HISTORY,
The Great Fire of London occurred in which year?,1566,1616,1666,1716,C,HISTORY,
Which planet rotates on its side?,Uranus,Neptune,Saturn,Venus,A,SCIENCE,
Which blood type is known as the universal donor?,AB positive,O negative,A positive,B negative,B,SCIENCE,
What element does the chemical symbol 'Au' represent?,Silver,Aluminum,Gold,Copper,C,SCIENCE,
Approximately how fast does light travel in a vacuum?,"300,000 km per second","150,000 km per second",1 million km per second,"30,000 km per second",A,SCIENCE,
Who painted the ceiling of the Sistine Chapel?,Leonardo da Vinci,Raphael,Donatello,Michelangelo,D,ART,
"Who wrote the novel ""1984""?",Aldous Huxley,George Orwell,Ray Bradbury,J.D. Salinger,B,LITERATURE,
Ophelia is a character in which Shakespeare play?,Macbeth,Othello,Hamlet,King Lear,C,LITERATURE,
"Who directed the 1975 blockbuster ""Jaws""?",Steven Spielberg,George Lucas,Martin Scorsese,Francis Ford Coppola,A,MOVIES,
"What is the surname of the crime family in ""The Godfather""?",Barzini,Tattaglia,Soprano,Corleone,D,MOVIES,
Freddie Mercury was the lead singer of which band?,Queen,The Rolling Stones,Aerosmith,The Eagles,A,MUSIC,
"Which boxer famously said ""float like a butterfly, sting like a bee""?",Joe Frazier,Mike Tyson,Muhammad Ali,George Foreman,C,SPORTS,
Wimbledon is a major championship in which sport?,Golf,Tennis,Cricket,Rugby,B,SPORTS,
"In poker, which hand ranks highest?",Full house,Four of a kind,Straight flush,Royal flush,D,GAMES,
