ncstate_raleigh_trivia
question,option_a,option_b,option_c,option_d,correct,category,time_limit
Which campus landmark glows red after every Wolfpack athletic victory?,The Free Expression Tunnel,Holladay Hall,The Court of Carolinas,The Memorial Belltower,D,TRADITIONS,
"In the Krispy Kreme Challenge, how many doughnuts must runners eat mid-race?",Six,Eight,Twenty,A dozen,D,TRADITIONS,
What campus tunnel are students allowed to paint freely?,The Free Expression Tunnel,The Gardner Tunnel,The Wolf Tunnel,The Centennial Underpass,A,TRADITIONS,
What is the nickname of the brick plaza between D.H. Hill Library and Harrelson Hall's old site?,The Quad,The Commons,The Brickyard,Red Square,C,CAMPUS,
What is Howling Cow?,The student radio station,A milk delivery service,The dairy science mascot,Ice cream made by NC State's own creamery,D,CAMPUS,
Where does NC State football play its home games?,Carter-Finley Stadium,Kenan Stadium,Wallace Wade Stadium,Reynolds Stadium,A,ATHLETICS,
"NC State men's basketball plays at PNC Arena, shared with which pro team?",Charlotte Hornets,Carolina Panthers,Carolina Hurricanes,Durham Bulls,C,ATHLETICS,
Who took over as head men's basketball coach in 2017?,Mark Gottfried,Sidney Lowe,Kevin Keatts,Herb Sendek,C,ATHLETICS,
NC State star Bradley Chubb was drafted 5th overall in 2018 playing what position?,Quarterback,Defensive end,Wide receiver,Kicker,B,ATHLETICS,
What ended NC State baseball's 2021 College World Series run?,A walk-off loss,A rain-out ruling,An ineligible player,COVID-19 protocols,D,ATHLETICS,
Who was NC State's head football coach for the entire 2016-2021 stretch?,Tom O'Brien,Dave Doeren,Chuck Amato,Mack Brown,B,ATHLETICS,
Which legendary coach led NC State to the 1983 national championship?,Dean Smith,Jim Valvano,Mike Krzyzewski,Norm Sloan,B,ATHLETICS,
What is the name of NC State's student union?,Talley,Witherspoon,Reynolds,Thompson,A,CAMPUS,
What is the robot that retrieves books at Hunt Library called?,bookBot,LibraryLift,ShelfBot,WolfFetch,A,CAMPUS,
What is the name of NC State's campus bus system?,Wolfline,PackTrack,Red Route,GoWolf,A,CAMPUS,
What portal did students use to register for classes and check financial aid?,WolfWeb,PackHub,StateLink,MyPack Portal,D,CAMPUS,
Which of these was NOT a dining hall on campus?,Fountain,Case,Tucker,Clark,C,CAMPUS,
What is NC State's official motto?,To Be Rather Than To Seem,Light and Liberty,Strength Through Knowledge,Think and Do,D,ACADEMICS,
Who was NC State's chancellor from 2016 to 2021?,Randy Woodson,Tom Ross,Kevin Guskiewicz,Vincent Price,A,ACADEMICS,
The College of Engineering is centered on which satellite campus?,West Campus,Centennial Campus,Biltmore Campus,Lake Raleigh Campus,B,ACADEMICS,
Why did NC State move undergraduate classes online just two weeks into fall 2020?,A hurricane,A campus-wide power failure,COVID-19 clusters on campus,A faculty strike,C,CAMPUS,
What is Raleigh's nickname?,The Queen City,The Bull City,The Gate City,The City of Oaks,D,RALEIGH,
What does downtown Raleigh drop at midnight on New Year's Eve?,A copper wolf,A giant acorn,A pine cone,A lightning bolt,B,RALEIGH,
Which historic park with a carousel sits right next to campus?,Pullen Park,Umstead Park,Dix Park,Moore Square,A,RALEIGH,
"Which late-night chain, beloved for its dozens of milkshake flavors, was a Wolfpack staple?",Waffle House,Sheetz,Cook Out,Biscuitville,C,RALEIGH,
