ecuador_trivia
question,option_a,option_b,option_c,option_d,correct,category,time_limit
What is the capital of Ecuador?,Guayaquil,Cuenca,Quito,Lima,C,GEOGRAPHY,
Ecuador is named after what?,A Spanish explorer,The equator,A river,An Inca emperor,B,GEOGRAPHY,
On which continent is Ecuador located?,South America,Central America,Africa,Europe,A,GEOGRAPHY,
What is the official language of Ecuador?,Portuguese,English,French,Spanish,D,CULTURE,
Which famous island chain belongs to Ecuador?,The Canary Islands,The Galapagos Islands,The Falkland Islands,The Azores,B,GEOGRAPHY,
What currency does Ecuador use today?,The peso,The bolivar,The US dollar,The euro,C,ECONOMY,
Which two countries border Ecuador?,Brazil and Chile,Colombia and Peru,Peru and Bolivia,Colombia and Venezuela,B,GEOGRAPHY,
What is the most popular sport in Ecuador?,Baseball,Basketball,Cricket,Soccer,D,SPORTS,
What is the largest city in Ecuador by population?,Guayaquil,Quito,Cuenca,Ambato,A,GEOGRAPHY,
Which scientist famously studied wildlife in the Galapagos Islands?,Charles Darwin,Isaac Newton,Gregor Mendel,Alexander von Humboldt,A,HISTORY,
What is the highest mountain in Ecuador?,Chimborazo,Cotopaxi,Aconcagua,Pichincha,A,GEOGRAPHY,
Which famous hat actually originates from Ecuador?,The fedora,The Panama hat,The sombrero,The beret,B,CULTURE,
Ecuador is the world's largest exporter of which fruit?,Mangoes,Pineapples,Bananas,Papayas,C,ECONOMY,
"Cotopaxi, one of Ecuador's most famous landmarks, is what kind of natural feature?",A volcano,A waterfall,A canyon,A glacier lake,A,NATURE,
What three colors make up Ecuador's flag?,"Green, white, and red","Blue, white, and yellow","Red, white, and blue","Yellow, blue, and red",D,CULTURE,
"What does 'Mitad del Mundo', the famous monument near Quito, mean in English?",Heart of the Andes,Gate of the Sun,Center of the City,Middle of the World,D,CULTURE,
"Cuy, a traditional Andean delicacy in Ecuador, is what animal?",Rabbit,Llama,Duck,Guinea pig,D,FOOD,
Which Indigenous language is widely spoken in Ecuador?,Nahuatl,Guarani,Mayan,Kichwa,D,CULTURE,
In what year did Ecuador adopt the US dollar as its currency?,1990,1985,2000,2008,C,ECONOMY,
Which 1822 battle secured Ecuador's independence from Spain?,Battle of Ayacucho,Battle of Pichincha,Battle of Boyaca,Battle of Carabobo,B,HISTORY,
Ecuador became a separate nation in 1830 after leaving which larger country?,The Inca Empire,Peru,Gran Colombia,New Spain,C,HISTORY,
What was Ecuador's currency called before it switched to the US dollar?,The condor,The real,The sucre,The inti,C,HISTORY,
Chimborazo's summit holds what unusual world record?,Farthest point from Earth's center,Highest point above sea level,Coldest place in South America,Largest crater in the world,A,GEOGRAPHY,
Ecuadorian Richard Carapaz won 2020 Olympic gold in which sport?,Marathon,Cycling,Boxing,Swimming,B,SPORTS,
Ecuador's 2008 constitution was the world's first to do what?,Ban all mining,Require solar power,Abolish its army,Grant legal rights to nature,D,HISTORY,
