marvel_movie_trivia
question,option_a,option_b,option_c,option_d,correct,category,time_limit
What is Iron Man's real name?,Steve Rogers,Bruce Banner,Scott Lang,Tony Stark,D,MARVEL: EASY,
What color does Bruce Banner turn when he transforms?,Green,Red,Blue,Purple,A,MARVEL: EASY,
Who is the God of Thunder in the MCU?,Loki,Odin,Thor,Heimdall,C,MARVEL: EASY,
What is the name of Thor's hammer?,Stormbreaker,Gungnir,Mjolnir,Hofund,C,MARVEL: EASY,
Which African nation does Black Panther rule?,Sokovia,Wakanda,Latveria,Genosha,B,MARVEL: EASY,
What kind of animal bites Peter Parker to give him his powers?,A spider,A scorpion,A bat,A wasp,A,MARVEL: EASY,
What rare metal is Captain America's shield made of?,Vibranium,Adamantium,Titanium,Uru,A,MARVEL: EASY,
How many Infinity Stones does Thanos collect in Infinity War?,Four,Five,Six,Seven,C,MARVEL: MEDIUM,
What is the name of Star-Lord's ship in Guardians of the Galaxy?,The Milano,The Benatar,The Bifrost,The Quadrant,A,MARVEL: MEDIUM,
"Which MCU film was released first, in 2008?",The Incredible Hulk,Captain America: The First Avenger,Thor,Iron Man,D,MARVEL: MEDIUM,
What is the name of Tony Stark's AI assistant before F.R.I.D.A.Y.?,E.D.I.T.H.,J.A.R.V.I.S.,K.A.R.E.N.,V.E.R.O.N.I.C.A.,B,MARVEL: MEDIUM,
Who becomes Captain America at the end of Avengers: Endgame?,Bucky Barnes,John Walker,Peggy Carter,Sam Wilson,D,MARVEL: MEDIUM,
What is Black Widow's real name?,Yelena Belova,Melina Vostokoff,Natasha Romanoff,Maria Hill,C,MARVEL: MEDIUM,
Which Infinity Stone is hidden inside Loki's scepter?,The Mind Stone,The Space Stone,The Soul Stone,The Reality Stone,A,MARVEL: MEDIUM,
"In Doctor Strange, who trains him in the mystic arts?",Wong,Mordo,Kaecilius,The Ancient One,D,MARVEL: MEDIUM,
What does S.H.I.E.L.D. agent Phil Coulson collect as a hobby?,Captain America trading cards,Vintage records,Model airplanes,Comic books,A,MARVEL: MEDIUM,
Which villain does Michael Keaton play in Spider-Man: Homecoming?,Mysterio,The Shocker,Doc Ock,The Vulture,D,MARVEL: MEDIUM,
On what planet does Thanos snap his fingers in Infinity War?,Titan,Earth,Vormir,Xandar,B,MARVEL: MEDIUM,
What are Tony Stark's final words in Avengers: Endgame?,I am Iron Man,I love you 3000,We're in the endgame now,Part of the journey is the end,A,MARVEL: HARD,
"In The Avengers (2012), what is the name of the alien army Loki commands?",The Skrulls,The Chitauri,The Kree,The Dark Elves,B,MARVEL: HARD,
"Who directed Captain America: The Winter Soldier, Civil War, Infinity War, and Endgame?",Joss Whedon,James Gunn,The Russo Brothers,Jon Favreau,C,MARVEL: HARD,
What is required to obtain the Soul Stone on Vormir?,Sacrificing your own life,Sacrificing a soul you love,Trading another Infinity Stone,A thousand years of service,B,MARVEL: HARD,
"In Guardians of the Galaxy Vol. 2, who is revealed to be Star-Lord's father?",Thanos,Yondu,Ego,J'son,C,MARVEL: HARD,
How many possible futures does Doctor Strange view in Infinity War?,"3,000,001","14,000,605","8,400,720","1,000,000",B,MARVEL: HARD,
What is the name of Carol Danvers' cat in Captain Marvel?,Chewie,Maverick,Nova,Goose,D,MARVEL: HARD,
